track_title,id,artist,hotness,genre,genreid,year
Sweat (A La La La La Long),77,Inner Circle,24,Reggae,10,1993
The River Of Dreams,26,Billy Joel,75,Rock,8,1993
I’m Gonna Be (500 Miles),27,Proclaimers,74,Rock,8,1993
Have I Told You Lately,32,Rod Stewart,69,Rock,8,1993
Ordinary World,34,Duran Duran,67,Rock,8,1993
I’d Do Anything For Love (But I Won’t Do That),36,Meat Loaf,65,Rock,8,1993
Come Undone,41,Duran Duran,60,Rock,8,1993
Bed Of Roses,57,Bon Jovi,44,Rock,8,1993
Cryin’,60,Aerosmith,41,Rock,8,1993
Cats In The Cradle,61,Ugly Kid Joe,40,Rock,8,1993
Fields Of Gold,87,Sting,14,Rock,8,1993
Reason To Believe,90,Rod Stewart,11,Rock,8,1993
Three Little Pigs,93,Green Jelly,8,Rock,8,1993
Livin’ On The Edge,94,Aerosmith,7,Rock,8,1993
If I Ever Lose My Faith In You,96,Sting,5,Rock,8,1993
Shine,31,Collective Soul,70,Alternative,1,1994
Mmm Mmm Mmm Mmm,35,Crash Test Dummies,66,Alternative,1,1994
Linger,49,Cranberries,52,Alternative,1,1994
Loser,50,Beck,51,Alternative,1,1994
Found Out About You,51,Gin Blossoms,50,Alternative,1,1994
Mary Jane’s Last Dance,77,Tom Petty and The Heartbreakers,24,Alternative,1,1994
Don’t Take The Girl,87,Tim McGraw,14,Country,2,1994
Indian Outlaw,90,Tim McGraw,11,Country,2,1994
The Sign,1,Ace Of Base,100,EDM,3,1994
100% Pure Love,46,Crystal Waters,55,EDM,3,1994
Another Night,63,Real McCoy,38,EDM,3,1994
Mr. Vain,76,Culture Beat,25,EDM,3,1994
What Is Love,97,Haddaway,4,EDM,3,1994
Whatta Man,14,Salt-N-Pepa,87,Hip hop,4,1994
Fantastic Voyage,20,Coolio,81,Hip hop,4,1994
Regulate,22,Warren G and Nate Dogg,79,Hip hop,4,1994
Shoop,29,Salt-N-Pepa,72,Hip hop,4,1994
Funkdafied,37,Da Brat,64,Hip hop,4,1994
Gangsta Lean,39,Drs,62,Hip hop,4,1994
Cantaloop,41,US3,60,Hip hop,4,1994
Whoomp! (There It Is),42,Tag Team,59,Hip hop,4,1994
Gin And Juice,52,Snoop Doggy Dogg,49,Hip hop,4,1994
Getto Jam,55,Domino,46,Hip hop,4,1994
This D.J.,59,Warren G,42,Hip hop,4,1994
Keep Ya Head Up,61,2Pac,40,Hip hop,4,1994
Who Am I (What’s My Name?),62,Snoop Doggy Dogg,39,Hip hop,4,1994
Tootsee Roll,65,69 Boyz,36,Hip hop,4,1994
Flava In Ya Ear,81,Craig Mack,20,Hip hop,4,1994
U.N.I.T.Y.,82,Queen Latifah,19,Hip hop,4,1994
Here Comes The Hotstepper,85,Ini Kamoze,16,Hip hop,4,1994
Got Me Waiting,88,Heavy D and The Boyz,13,Hip hop,4,1994
Back In The Day,93,Ahmad,8,Hip hop,4,1994
Bop Gun (One Nation),99,Ice Cube,2,Hip hop,4,1994
The Power Of Love,4,Celine Dion,97,Pop,5,1994
Hero,5,Mariah Carey,96,Pop,5,1994
Stay (I Missed You),6,Lisa Loeb and Nine Stories,95,Pop,5,1994
All That She Wants,9,Ace Of Base,92,Pop,5,1994
Don’t Turn Around,10,Ace Of Base,91,Pop,5,1994
Again,12,Janet Jackson,89,Pop,5,1994
I’ll Remember,13,Madonna,88,Pop,5,1994
Without You / Never Forget You,16,Mariah Carey,85,Pop,5,1994
If You Go,23,Jon Secada,78,Pop,5,1994
Said I Loved You…But I Lied,32,Michael Bolton,69,Pop,5,1994
Return To Innocence,33,Enigma,68,Pop,5,1994
All I Wanna Do,34,Sheryl Crow,67,Pop,5,1994
Anytime You Need A Friend,47,Mariah Carey,54,Pop,5,1994
Because Of Love,48,Janet Jackson,53,Pop,5,1994
Always,73,Erasure,28,Pop,5,1994
Beautiful In My Eyes,79,Joshua Kadison,22,Pop,5,1994
Prayer For The Dying,83,Seal,18,Pop,5,1994
Secret,84,Madonna,17,Pop,5,1994
"December 1963 (Oh, What A Night)",89,Four Seasons,12,Pop,5,1994
Streets Of Philadelphia,54,Bruce Springsteen,47,Pop rock,6,1994
Everyday,86,Phil Collins,15,Pop rock,6,1994
I Swear,2,All-4-One,99,R&B,7,1994
I’ll Make Love To You,3,Boyz II Men,98,R&B,7,1994
Breathe Again,7,Toni Braxton,94,R&B,7,1994
Bump N’ Grind,11,R. Kelly,90,R&B,7,1994
You Mean The World To Me,17,Toni Braxton,84,R&B,7,1994
The Most Beautiful Girl In The World,19,Prince,82,R&B,7,1994
Back & Forth,24,Aaliyah,77,R&B,7,1994
When Can I See You,26,Babyface,75,R&B,7,1994
So Much In Love,28,All-4-One,73,R&B,7,1994
